date,value,cash,holdings,dividends
2024-06-30,129308.29492993292,12925.044662904113,70,6139.215423599999
2024-07-07,130227.62636318144,12610.170344733566,70,6139.215423599999
2024-07-14,132688.3559068912,15102.10517637667,67,6139.215423599999
2024-07-21,131818.64654688296,13285.959226173727,70,6139.215423599999
2024-07-28,131706.01330447602,16255.087401155704,64,6142.951652599999
2024-08-04,127592.35326632904,16791.80574283051,64,6173.951652599999
2024-08-11,127733.72119758044,29286.89394233142,55,6183.449124599999
2024-08-18,130145.68691535387,33332.97204680834,53,6183.449124599999
2024-08-25,131919.73884286318,31259.714230436428,57,6183.449124599999
2024-09-01,133632.8927313366,28185.825873044974,62,6209.985353599999
2024-09-08,130610.8904508152,28768.341380456928,61,6209.985353599999
2024-09-15,132394.084776377,36288.90981337959,53,6227.198548599999
2024-09-22,133674.49457927162,33778.962602571795,57,6235.698548599999
2024-09-29,135839.31611468727,33939.25403811867,57,6281.2985486
2024-10-06,134588.4311339841,34823.731560467255,63,6303.568524599999
2024-10-13,133770.26305765964,38679.25033373691,60,6305.1685246
2024-10-20,133914.37075442172,44761.55053347446,55,6339.1185246
2024-10-27,132916.27263508644,45903.79686604348,55,6350.504753599999
2024-11-03,132208.5168863186,46169.685820187005,49,6394.254753599999
2024-11-10,133194.84210326042,52500.923825519945,45,6552.154753599999
2024-11-17,131062.2869738373,56788.88652599183,43,6584.454753599999
2024-11-24,130877.80470188941,112652.82212361183,5,6584.454753599999
2024-12-01,131130.37134640542,110825.61906903113,5,6584.454753599999
2024-12-08,131707.88773815957,110825.61906903113,5,6584.454753599999
2024-12-15,129416.95822834816,21654.840426681894,45,6584.454753599999
2024-12-22,127016.13214730109,26751.859667290108,42,6584.454753599999
2024-12-29,126846.87725778428,119692.47583719101,3,6584.454753599999
2025-01-05,126811.08213754502,119692.47583719101,3,6584.454753599999
2025-01-12,126637.21991678086,119692.47583719101,3,6584.454753599999
2025-01-19,126906.63291879502,119692.47583719101,3,6584.454753599999
2025-01-26,129686.13240427343,17801.13849634496,48,6584.454753599999
2025-02-02,130999.41802054712,15124.795413315982,52,6591.927211599999
2025-02-09,132321.90587934802,13268.507195800037,57,6621.927211599999
2025-02-16,135029.36856427978,21000.25151792357,51,6621.927211599999
2025-02-23,134955.77308292696,16496.003927424645,58,6621.927211599999
2025-03-02,133930.00988157102,21687.011445596912,53,6621.927211599999
2025-03-09,133525.99961857626,29489.88996891806,46,6621.927211599999
2025-03-16,133609.24892706703,36207.847033451304,43,6621.927211599999
2025-03-23,132827.6465859258,37220.7471642339,43,6752.380599599999
2025-03-30,131254.44605957388,38804.772855151874,42,7765.410599599999
2025-04-06,130079.55078128692,112808.10977939483,5,7765.410599599999
2025-04-13,130102.65944675323,112810.10977939483,5,7767.410599599999
2025-04-20,130670.20084384795,113036.87053684112,5,7767.410599599999
2025-04-27,130901.39812446471,113310.31240821716,5,7942.410599599999
2025-05-04,131834.4888625705,113035.09287410614,5,7942.410599599999
2025-05-11,130941.3302534702,113193.52788530613,5,8100.845610799999
2025-05-18,131514.72156290317,114609.56320719028,5,8152.045610799999
2025-05-25,131086.8603515842,114937.74031069064,5,8152.045610799999
2025-06-01,131349.79113008763,114819.92562105441,5,8152.045610799999
2025-06-08,131557.8864588382,114462.36270090364,5,8152.045610799999
2025-06-15,131414.49722406646,114686.4701397159,5,8152.045610799999
2025-06-22,131198.555634711,114686.4701397159,5,8152.045610799999
2025-06-29,131433.6335495975,114119.12270059847,5,8152.045610799999
2025-07-06,131512.01766092563,114315.19895059847,5,8152.045610799999
2025-07-13,131544.61659339926,112037.44578103088,5,8152.045610799999
2025-07-20,131680.76990232492,108686.96288666749,5,8152.045610799999
2025-07-27,132004.72688748382,109099.0828654959,5,8152.045610799999
2025-08-03,129169.03001914526,15130.058038335086,53,8179.045610799999
2025-08-10,128657.38816657095,106197.47489466696,5,8179.045610799999
2025-08-17,130039.46288463147,10020.347429957712,47,8179.045610799999
2025-08-24,131151.56589010748,10586.33207562956,48,8179.045610799999
2025-08-31,126701.54524932984,6624.239045726093,54,8196.6873482
2025-09-07,125931.15876659515,19842.64734276894,44,8196.6873482
2025-09-14,128615.19664298181,19078.38626347665,44,8196.6873482
2025-09-21,128399.42287847641,19386.59731242303,44,8256.1873482
2025-09-28,126214.1110534299,22157.675300322815,42,8256.1873482
2025-10-05,127219.10512929087,25313.174206305786,39,8336.1873482
2025-10-12,126514.18802771691,14328.130961276336,45,8431.3873482
2025-10-19,126320.57732161645,12433.056670275973,46,8448.4873482
2025-10-26,128558.05338931001,4789.67293596185,51,8486.712560400001
2025-11-02,128447.09556175148,2819.307554015285,52,8526.712560400001
2025-11-09,125427.46974909879,6735.854987746249,52,8611.8625604
2025-11-16,125713.11318338371,14291.03940380074,47,8664.1125604
2025-11-23,122847.45338512398,12806.374016532673,48,8664.1125604
2025-11-30,125800.15201019264,27687.85245346047,39,8664.1125604
2025-12-07,126246.46702604272,7630.196296977776,52,8664.1125604
2025-12-14,126242.65917417505,7586.198389262931,52,8664.1125604
2025-12-21,127251.54997491815,7416.276922702567,52,8664.1125604
2025-12-28,127722.3973838804,7140.55428047158,52,8664.1125604
2026-01-04,129188.6362694738,6888.843159580009,52,8699.1125604
2026-01-11,131824.88249576546,5425.968196754235,56,8714.1125604
2026-01-18,133080.91132434824,7301.1462677381205,59,8714.1125604
2026-01-25,132778.2394713781,8907.673080386894,58,8714.1125604
