date,value,cash,holdings,dividends
2024-09-01,119887.30035427476,39648.67106274034,40,4226.946558359998
2024-09-08,117701.25291921044,39617.85525037194,40,4226.946558359998
2024-09-15,119054.44779060585,39043.44066856605,40,4271.513251959997
2024-09-22,120154.67236519081,39188.63792610389,40,4271.513251959997
2024-09-29,121186.12733223182,39416.95499183876,40,4320.163251959997
2024-10-06,120262.22551619046,39675.33415113919,40,4373.617449559996
2024-10-13,119646.90814888472,39780.001769185,40,4373.617449559996
2024-10-20,119910.844259715,39782.188219523356,40,4460.917449559996
2024-10-27,119063.37139912709,39209.07806035146,40,4475.602372899996
2024-11-03,119049.09917429075,38870.81569650754,40,4517.852372899996
2024-11-10,119369.29247373686,39774.840222302526,40,4578.552372899996
2024-11-17,117093.5325743781,39426.232178412516,40,4605.152372899996
2024-11-24,116870.9847592841,43854.0493535529,37,4605.152372899996
2024-12-01,117660.78688245174,52988.139671376906,31,4614.506570499996
2024-12-08,119828.20346471186,43462.35676976557,37,4614.506570499996
2024-12-15,118368.15679673548,38852.85726289148,40,4614.506570499996
2024-12-22,116430.22195412035,39280.921632541365,40,4614.506570499996
2024-12-29,116868.33189262742,51042.63909210557,32,4649.506570499996
2025-01-05,117290.89445604925,47921.04984583503,34,4658.860768099996
2025-01-12,115605.05051945333,46440.07109783774,35,4658.860768099996
2025-01-19,117894.4628299964,41525.859798837955,38,4658.860768099996
2025-01-26,119529.70833333617,38711.840405784904,40,4658.860768099996
2025-02-02,120705.43209819077,38831.32101039169,40,4667.045691439996
2025-02-09,121768.22796168562,38692.59266391036,40,4696.545691439996
2025-02-16,123825.26051402328,38396.56041026351,40,4696.545691439996
2025-02-23,123297.05240361449,38380.99381749389,40,4696.545691439996
2025-03-02,122832.78161545035,39208.44852371451,40,4696.545691439996
2025-03-09,122545.34583286519,38848.77347950216,40,4696.545691439996
2025-03-16,122472.7086015534,39177.329229910334,40,4696.545691439996
2025-03-23,122044.30749498156,39356.72811876086,40,4826.444044439995
2025-03-30,120098.3150056818,39578.57596149234,40,5278.654044439995
2025-04-06,114368.735334492,49476.660637951165,34,5627.154044439995
2025-04-13,114392.99587517527,81484.13124733714,15,5661.654044439995
2025-04-20,115647.32186051158,83755.33698578624,14,5661.654044439995
2025-04-27,116773.97389485149,62578.957453506264,22,5738.654044439995
2025-05-04,119863.4823192766,55294.20598642138,27,6005.854044439996
2025-05-11,119510.41941707952,45695.1545245014,33,6274.526308639997
2025-05-18,121388.81076118811,50779.482102130496,30,6462.526308639997
2025-05-25,119960.0143616174,34892.91419744237,40,6561.026308639997
2025-06-01,120424.10366983159,47149.44257707341,33,6561.026308639997
2025-06-08,121232.70089562637,39125.69006546242,38,6561.026308639997
2025-06-15,119966.24980625373,40718.15604385597,37,6561.026308639997
2025-06-22,119853.9170674823,41653.0122367881,36,6561.026308639997
2025-06-29,121959.8669976352,41546.82677761299,36,6596.026308639997
2025-07-06,122560.77854448484,34713.56600862668,40,6603.679743039997
2025-07-13,123043.07537490055,34977.85334020779,40,6613.679743039997
2025-07-20,122878.07841710254,34707.07515100643,40,6613.679743039997
2025-07-27,124710.82095517153,34207.00781239504,40,6620.376498499997
2025-08-03,122822.75938385958,34171.94519180293,40,6649.876498499997
2025-08-10,123875.39986434931,33828.57944408412,40,6649.876498499997
2025-08-17,124607.72748886104,34032.65218578334,40,6649.876498499997
2025-08-24,126132.46630910868,34276.34798125262,40,6649.876498499997
2025-08-31,123367.4457916164,34159.90523542399,40,6691.676498499997
2025-09-07,122660.25930800432,33817.547390842374,40,6691.676498499997
2025-09-14,125112.33100400917,33726.53133712762,40,6691.676498499997
2025-09-21,124972.71608288758,34009.4673176574,40,6717.176498499997
2025-09-28,122625.05787455552,33611.312744254996,40,6717.176498499997
2025-10-05,123469.94460474007,36856.91714988701,39,6773.176498499997
2025-10-12,123179.76324715606,33591.6425067424,40,6834.876498499997
2025-10-19,123548.60068164818,33802.79036031715,40,6851.976498499997
2025-10-26,125817.30966889375,33647.881959552695,40,6884.976498499997
2025-11-02,125806.00391920083,33840.39063222879,40,6914.476498499997
2025-11-09,123182.26179149741,33307.473808556744,40,7007.526498499998
2025-11-16,123516.5514283287,33241.37835932847,40,7064.776498499998
2025-11-23,121036.93868378754,33154.55984620209,40,7064.776498499998
2025-11-30,123853.48172027704,35731.712147065366,39,7064.776498499998
2025-12-07,123931.8046095192,34525.75089476701,40,7064.776498499998
2025-12-14,123822.93555105323,34595.24095190163,40,7064.776498499998
2025-12-21,124851.19358754272,37009.56871342773,40,7064.776498499998
2025-12-28,125232.07318295594,37458.98348225708,40,7064.776498499998
2026-01-04,126383.62580098267,37493.98348225708,40,7099.776498499998
2026-01-11,128246.92352124328,37523.92203732605,40,7099.776498499998
2026-01-18,129570.89195838087,37634.065168524925,40,7099.776498499998
2026-01-25,129531.84528857344,38206.093232451625,40,7099.776498499998
