ticker,score,price,ma50,ma200,distance_ma200,ma50_above_ma200,ma200_rising,relative_strength_3m,relative_strength_6m,price_vs_52w_high,52w_high,death_cross,days_since_death_cross,revenue_growth,profit_margin,roe,quality_score
NDA-SE.ST,79.5,175.8000030517578,172.55700012207032,152.65449974060058,15.162018381696848,True,True,-2.983985922597663,-2.2953044270843552,0.9699310513200431,181.25,False,,0.026,0.4129,0.14926,10.0
TELIA.ST,78.1,43.130001068115234,38.643243408203126,35.65349232673645,20.96991978475044,True,True,3.5854541206247443,8.688212061578433,0.9990734977408721,43.16999816894531,False,,-0.102,0.043530002,0.102189995,2.0
SHB-A.ST,77.1,140.4499969482422,135.09900009155274,126.4625,11.06058867114139,True,True,-1.3815108364009951,-5.21193404101656,0.9382097515793663,149.6999969482422,False,,-0.122,0.4154,0.11723,8.0
SEB-A.ST,76.4,193.5500030517578,193.40000122070313,176.7702495574951,9.492408103890263,True,True,-6.733200280682551,-9.909408907170924,0.9464547826491825,204.5,False,,-0.056,0.41202998,0.13464,8.0
ASSA-B.ST,76.0,388.0,360.00599975585936,329.587745513916,17.7228235215492,True,True,-2.6525927366275504,0.42758726986232176,0.9837728346969393,394.3999938964844,False,,0.019,0.09554,0.14402,6.0
LUND-B.ST,75.9,547.0,512.7499993896485,496.9875003051758,10.063130292837139,True,True,-5.224832485261393,-3.8150711355755007,0.9914188407157741,551.7345218142947,False,,-0.01,0.22434,0.05928,6.0
BEIA-B.ST,74.7,271.5,281.72,253.00936965942384,7.308278885270698,True,True,-16.817793734748648,-13.721705948924265,0.9126050420168067,297.5,False,,0.121,0.06968,0.12517999,10.0
COOR.ST,74.5,52.650001525878906,49.206999969482425,45.21781894683838,16.436402179809658,True,True,2.4215699776702024,-6.320498079658655,0.9555354443540887,55.099998474121094,False,,0.021,0.01165,0.10017,4.0
SECU-B.ST,73.8,160.5,145.65699951171874,142.32149543762208,12.772845385358783,True,True,3.692898711067576,-6.970214044995968,0.9984447900466563,160.75,False,,-0.081,0.032980002,0.12589,2.0
CATE.ST,73.2,464.0,450.2279998779297,449.0930291748047,3.319350303117911,True,True,-10.20193842028754,-12.866135989387537,0.9487549013976198,489.06203205535724,False,,0.303,0.62321,0.06983,14.0
DUNI.ST,72.7,106.0,102.34200012207032,95.5874416732788,10.89322838277405,True,True,-7.758165075304388,1.9936415662099272,0.9778597648330666,108.4000015258789,False,,0.032,0.04205,0.08512,2.0
SKA-B.ST,71.9,279.3999938964844,257.98399963378904,241.92950012207032,15.488187160105557,True,True,-0.3761566117900479,-2.0836333604164174,0.9918352211186399,281.70001220703125,False,,-0.046,0.033889998,0.105129994,2.0
NCC-B.ST,69.4,212.0,220.892001953125,198.74026077270508,6.671893845635933,True,True,-10.169530564746347,-6.1602133457658805,0.8922558693354476,237.60000610351562,False,,-0.008,0.02637,0.20292,6.0
SKF-B.ST,65.6,247.89999389648438,246.13,230.60100036621094,7.501699256638693,True,True,-15.445492299379145,-12.216196751245416,0.9545628888875832,259.70001220703125,False,,-0.111,0.042880002,0.07224,0.0
ATRLJ-B.ST,64.5,33.459999084472656,33.47860023498535,32.70455125808716,2.3099165019079484,True,True,-13.634818147969938,-10.861001728040087,0.8675928001875117,38.5664785107034,False,,0.048,0.22376,0.02928,8.0
DORO.ST,63.0,40.04999923706055,41.782999725341796,39.28349998474121,1.9511989833315875,True,True,-12.709675883398555,-5.787778434885448,0.6686143274930892,59.900001525878906,False,,0.138,0.069120005,0.12303001,10.0
FABG.ST,61.5,83.80000305175781,81.21523681640625,80.92915210723876,3.5473631809646298,True,True,-11.012544014963112,-16.567103675071284,0.9451248089883199,88.66554158223714,False,,-0.07,0.082229994,0.00759,2.0
GETI-B.ST,57.5,206.0,211.77500061035155,203.07736099243164,1.4391751957409402,True,True,-18.219438828471244,-15.26639310838518,0.889464570687129,231.60000610351562,False,,-0.08,0.064569995,0.07256,2.0
ESSITY-B.ST,56.7,276.70001220703125,262.98999877929685,260.9399998474121,6.039707353734587,True,False,-7.41585009182796,-5.187134963004016,0.911676987208942,303.5066323809882,False,,-0.082,0.09137999,0.14553,4.0
CORE-PREF.ST,56.6,239.0,241.23541046142577,235.69401458740234,1.4026598929060656,True,True,-9.887054036051437,-18.41909805752076,0.9695740365111561,246.5,False,,-0.053,-0.50745,-0.088479996,0.0
AAK.ST,52.0,260.20001220703125,258.111999206543,257.5537245941162,1.027470139321565,True,False,-13.574325767814312,-15.627562765544447,0.8299251705843963,313.52225649911304,False,,0.029,0.07367,0.18173,8.0
TREL-B.ST,44.7,383.5,385.0340002441406,365.9701100158691,4.789978608736858,True,True,-13.846573944139415,-8.150625218501244,0.8981941089500032,426.96784155967674,True,3.0,-0.046,0.10475001,0.09212,4.0
