Ticker,Name,Sector,MarketCap,LastUpdated
AAK.ST,AAK,Consumer Staples,Mid,2026-02-05
ACAD.ST,AcadeMedia,Consumer Discretionary,Mid,2026-02-27
ADDT-B.ST,Addtech B,Industrials,Mid,2026-02-27
AFRY.ST,AFRY,Industrials,Mid,2026-02-27
ALIF-B.ST,AddLife B,Healthcare,Mid,2026-02-27
ALLEI.ST,Alleima,Materials,Mid,2026-02-27
AQ.ST,AQ Group,Industrials,Mid,2026-02-27
ATT.ST,Attendo,Healthcare,Mid,2026-02-27
ATRLJ-B.ST,Atrium Ljungberg B,Real Estate,Mid,2026-02-27
AXFO.ST,Axfood,Consumer Staples,Mid,2026-02-05
AZA.ST,Avanza Bank,Financials,Mid,2026-02-27
BALD-B.ST,Fastighets Balder B,Real Estate,Mid,2026-02-27
BEIJ-B.ST,Beijer Ref B,Industrials,Mid,2026-02-27
BETS-B.ST,Betsson B,Consumer Discretionary,Mid,2026-02-05
BHG.ST,BHG Group,Consumer Discretionary,Mid,2026-02-27
BILL.ST,Billerud,Materials,Mid,2026-02-05
BIOA-B.ST,BioArctic B,Healthcare,Mid,2026-02-27
BONEX.ST,BoneSupport,Healthcare,Mid,2026-02-27
BOOZT.ST,Boozt,Consumer Discretionary,Mid,2026-02-27
BRAV.ST,Bravida Holding,Industrials,Mid,2026-02-27
BUFAB.ST,Bufab,Industrials,Mid,2026-02-27
BURE.ST,Bure Equity,Financials,Mid,2026-02-27
CAST.ST,Castellum,Real Estate,Mid,2026-02-27
CATE.ST,Catena,Real Estate,Mid,2026-02-05
CLAS-B.ST,Clas Ohlson B,Consumer Discretionary,Mid,2026-02-27
CLA-B.ST,Cloetta B,Consumer Staples,Mid,2026-02-27
DOM.ST,Dometic Group,Consumer Discretionary,Mid,2026-02-27
EKTA-B.ST,Elekta B,Healthcare,Mid,2026-02-27
ELUX-B.ST,Electrolux B,Consumer Discretionary,Mid,2026-02-05
EMBRAC-B.ST,Embracer Group B,Technology,Mid,2026-02-27
FABG.ST,Fabege,Real Estate,Mid,2026-02-05
GRNG.ST,Granges,Materials,Mid,2026-02-27
HEM.ST,Hemnet Group,Technology,Mid,2026-02-27
HOLM-B.ST,Holmen B,Materials,Mid,2026-02-27
HPOL-B.ST,Hexpol B,Materials,Mid,2026-02-05
HTRO.ST,Hexatronic Group,Technology,Mid,2026-02-27
HUFV-A.ST,Hufvudstaden A,Real Estate,Mid,2026-02-27
HUSQ-B.ST,Husqvarna B,Consumer Discretionary,Mid,2026-02-05
INDT.ST,Indutrade,Industrials,Mid,2026-02-27
INSTAL.ST,Instalco,Industrials,Mid,2026-02-27
INTRUM.ST,Intrum,Financials,Mid,2026-02-27
INWI.ST,Inwido,Industrials,Mid,2026-02-27
JM.ST,JM,Real Estate,Mid,2026-02-05
LAGR-B.ST,Lagercrantz B,Industrials,Mid,2026-02-05
LIAB.ST,Lindab International,Industrials,Mid,2026-02-27
LOOMIS.ST,Loomis,Industrials,Mid,2026-02-27
MEKO.ST,Meko,Consumer Discretionary,Mid,2026-02-27
MIPS.ST,MIPS,Consumer Discretionary,Mid,2026-02-27
MTRS.ST,Munters Group,Industrials,Mid,2026-02-27
MYCR.ST,Mycronic,Technology,Mid,2026-02-05
NCC-B.ST,NCC B,Industrials,Mid,2026-02-05
NEWA-B.ST,New Wave Group B,Consumer Discretionary,Mid,2026-02-27
NIBE-B.ST,Nibe B,Industrials,Mid,2026-02-05
NOBA.ST,NOBA Bank Group,Financials,Mid,2026-02-27
NOLA-B.ST,Nolato B,Industrials,Mid,2026-02-27
NP3.ST,NP3 Fastigheter,Real Estate,Mid,2026-02-27
NYF.ST,Nyfosa,Real Estate,Mid,2026-02-27
OEM-B.ST,OEM International B,Industrials,Mid,2026-02-27
PNDX-B.ST,Pandox B,Real Estate,Mid,2026-02-27
PDX.ST,Paradox Interactive,Technology,Mid,2026-02-27
PEAB-B.ST,Peab B,Industrials,Mid,2026-02-05
RUSTA.ST,Rusta,Consumer Discretionary,Mid,2026-02-27
SAGA-B.ST,Sagax B,Real Estate,Mid,2026-02-27
SAVE.ST,Nordnet,Financials,Mid,2026-02-27
SBB-B.ST,Samhallsbyggnadsbolaget B,Real Estate,Mid,2026-02-27
SCA-B.ST,SCA B,Materials,Mid,2026-02-27
SDIP-B.ST,Sdiptech B,Industrials,Mid,2026-02-27
SECT-B.ST,Sectra B,Technology,Mid,2026-02-27
SF.ST,Stillfront Group,Technology,Mid,2026-02-27
SINCH.ST,Sinch,Technology,Mid,2026-02-05
SSAB-A.ST,SSAB A,Materials,Mid,2026-02-05
SSAB-B.ST,SSAB B,Materials,Mid,2026-02-05
STOR-B.ST,Storskogen Group B,Industrials,Mid,2026-02-27
SWEC-B.ST,Sweco B,Industrials,Mid,2026-02-05
SYSR.ST,Systemair,Industrials,Mid,2026-02-27
THULE.ST,Thule Group,Consumer Discretionary,Mid,2026-02-27
TREL-B.ST,Trelleborg B,Industrials,Mid,2026-02-05
TROAX.ST,Troax Group,Industrials,Mid,2026-02-27
VIMIAN.ST,Vimian Group,Healthcare,Mid,2026-02-27
VITR.ST,Vitrolife,Healthcare,Mid,2026-02-05
WALL-B.ST,Wallenstam B,Real Estate,Mid,2026-02-27
WIHL.ST,Wihlborgs,Real Estate,Mid,2026-02-05
FNOX.ST,Fortnox,Technology,Mid,2026-02-27
HACK.ST,Hacksaw,Technology,Mid,2026-02-27
ASMDEE-B.ST,Asmodee Group B,Consumer Discretionary,Mid,2026-02-27
ROKO-B.ST,Roko B,Industrials,Mid,2026-02-27
AMBEA.ST,Ambea,Healthcare,Small,2026-02-05
ARISE.ST,Arise,Utilities,Small,2026-02-05
BALCO.ST,Balco,Industrials,Small,2026-02-05
BEIA-B.ST,Beijer Electronics B,Technology,Small,2026-02-05
BERG-B.ST,Bergman & Beving B,Industrials,Small,2026-02-27
BMAX.ST,Byggmax,Consumer Discretionary,Small,2026-02-27
BRIN-B.ST,Brinova B,Real Estate,Small,2026-02-05
BTS-B.ST,BTS Group B,Consumer Discretionary,Small,2026-02-05
BULTEN.ST,Bulten,Industrials,Small,2026-02-05
CARY.ST,Cary Group,Industrials,Small,2026-02-05
CEVI.ST,CellaVision,Healthcare,Small,2026-02-27
CIBUS.ST,Cibus Nordic,Real Estate,Small,2026-02-05
COOR.ST,Coor Service,Industrials,Small,2026-02-05
CTM.ST,CTT Systems,Industrials,Small,2026-02-05
DIOS.ST,Dios Fastigheter,Real Estate,Small,2026-02-05
DUNI.ST,Duni,Consumer Discretionary,Small,2026-02-05
DUST.ST,Dustin Group,Technology,Small,2026-02-27
EOLU-B.ST,Eolus Vind B,Utilities,Small,2026-02-05
EWRK.ST,Ework Group,Industrials,Small,2026-02-27
FPAR-A.ST,FastPartner A,Real Estate,Small,2026-02-27
FING-B.ST,Fingerprint Cards B,Technology,Small,2026-02-05
GARO.ST,Garo,Industrials,Small,2026-02-05
HANZA.ST,Hanza,Industrials,Small,2026-02-05
HMS.ST,HMS Networks,Technology,Small,2026-02-05
IVSO.ST,Invisio,Industrials,Small,2026-02-27
KNOW.ST,Knowit,Technology,Small,2026-02-27
MCOV-B.ST,Medicover B,Healthcare,Small,2026-02-27
MMGR-B.ST,Momentum Group B,Industrials,Small,2026-02-27
NMAN.ST,Nederman Holding,Industrials,Small,2026-02-27
NOTE.ST,Note AB,Technology,Small,2026-02-05
PACT.ST,Proact IT Group,Technology,Small,2026-02-27
PLAZ-B.ST,Platzer Fastigheter B,Real Estate,Small,2026-02-27
RUG.ST,RugVista Group,Consumer Discretionary,Small,2026-02-27
STORY-B.ST,Storytel B,Communication Services,Small,2026-02-27
TOBII.ST,Tobii,Technology,Small,2026-02-27
VIT-B.ST,Vitec Software B,Technology,Small,2026-02-27
VPAB-B.ST,Veteranpoolen B,Industrials,Small,2026-02-27
VPLAY-B.ST,Viaplay Group B,Communication Services,Small,2026-02-27
EQNR.OL,Equinor,Energy,Large,2026-03-02
DNB.OL,DNB Bank,Financials,Large,2026-03-02
KOG.OL,Kongsberg Gruppen,Industrials,Large,2026-03-02
TEL.OL,Telenor,Communication Services,Large,2026-03-02
AKRBP.OL,Aker BP,Energy,Large,2026-03-02
NHY.OL,Norsk Hydro,Materials,Large,2026-03-02
GJF.OL,Gjensidige Forsikring,Financials,Large,2026-03-02
ORK.OL,Orkla,Consumer Staples,Large,2026-03-02
YAR.OL,Yara International,Materials,Large,2026-03-02
MOWI.OL,Mowi,Consumer Staples,Large,2026-03-02
VAR.OL,Var Energi,Energy,Large,2026-03-02
STB.OL,Storebrand,Financials,Large,2026-03-02
SALM.OL,SalMar,Consumer Staples,Large,2026-03-02
SUBC.OL,Subsea 7,Energy,Large,2026-03-02
FRO.OL,Frontline,Energy,Mid,2026-03-02
HAFNI.OL,Hafnia,Energy,Mid,2026-03-02
BWLPG.OL,BW LPG,Energy,Mid,2026-03-02
WAWI.OL,Wallenius Wilhelmsen,Industrials,Mid,2026-03-02
NOD.OL,Nordic Semiconductor,Technology,Mid,2026-03-02
TGS.OL,TGS,Energy,Mid,2026-03-02
NAS.OL,Norwegian Air Shuttle,Industrials,Mid,2026-03-02
HAUTO.OL,Hoegh Autoliners,Industrials,Mid,2026-03-02
MPCC.OL,MPC Container Ships,Industrials,Mid,2026-03-02
AKER.OL,Aker,Financials,Mid,2026-03-02
PROT.OL,Protector Forsikring,Financials,Mid,2026-03-02
AUTO.OL,AutoStore,Technology,Mid,2026-03-02
TOM.OL,Tomra Systems,Industrials,Mid,2026-03-02
BAKKA.OL,Bakkafrost,Consumer Staples,Mid,2026-03-02
LSG.OL,Leroy Seafood,Consumer Staples,Mid,2026-03-02
DOFG.OL,DOF Group,Energy,Mid,2026-03-02
BORR.OL,Borr Drilling,Energy,Mid,2026-03-02
ENTRA.OL,Entra,Real Estate,Small,2026-03-02
AKSO.OL,Aker Solutions,Energy,Small,2026-03-02
ELK.OL,Elkem,Materials,Small,2026-03-02
SCATC.OL,Scatec,Utilities,Small,2026-03-02
BRG.OL,Borregaard,Materials,Small,2026-03-02
AAPL,Apple,Technology,Large,2026-03-02
MSFT,Microsoft,Technology,Large,2026-03-02
NVDA,Nvidia,Technology,Large,2026-03-02
AMZN,Amazon,Consumer Discretionary,Large,2026-03-02
GOOGL,Alphabet,Communication Services,Large,2026-03-02
META,Meta Platforms,Communication Services,Large,2026-03-02
TSLA,Tesla,Consumer Discretionary,Large,2026-03-02
AMD,AMD,Technology,Large,2026-03-02
AVGO,Broadcom,Technology,Large,2026-03-02
CRM,Salesforce,Technology,Large,2026-03-02
NFLX,Netflix,Communication Services,Large,2026-03-02
ADBE,Adobe,Technology,Large,2026-03-02
NOW,ServiceNow,Technology,Large,2026-03-02
SNOW,Snowflake,Technology,Large,2026-03-02
PLTR,Palantir,Technology,Large,2026-03-02
CRWD,CrowdStrike,Technology,Large,2026-03-02
PANW,Palo Alto Networks,Technology,Large,2026-03-02
UBER,Uber,Technology,Large,2026-03-02
SHOP,Shopify,Technology,Large,2026-03-02
ASML,ASML,Technology,Large,2026-03-02
MRVL,Marvell Technology,Technology,Large,2026-03-02
KLAC,KLA Corp,Technology,Large,2026-03-02
LRCX,Lam Research,Technology,Large,2026-03-02
AMAT,Applied Materials,Technology,Large,2026-03-02
JPM,JPMorgan Chase,Financials,Large,2026-03-02
GS,Goldman Sachs,Financials,Large,2026-03-02
V,Visa,Financials,Large,2026-03-02
MA,Mastercard,Financials,Large,2026-03-02
BRK-B,Berkshire Hathaway B,Financials,Large,2026-03-02
UNH,UnitedHealth,Healthcare,Large,2026-03-02
LLY,Eli Lilly,Healthcare,Large,2026-03-02
ABBV,AbbVie,Healthcare,Large,2026-03-02
ISRG,Intuitive Surgical,Healthcare,Large,2026-03-02
XOM,ExxonMobil,Energy,Large,2026-03-02
CVX,Chevron,Energy,Large,2026-03-02
SLB,SLB,Energy,Large,2026-03-02
CAT,Caterpillar,Industrials,Large,2026-03-02
GE,GE Aerospace,Industrials,Large,2026-03-02
LMT,Lockheed Martin,Industrials,Large,2026-03-02
RTX,RTX Corp,Industrials,Large,2026-03-02
COST,Costco,Consumer Staples,Large,2026-03-02
HD,Home Depot,Consumer Discretionary,Large,2026-03-02
NKE,Nike,Consumer Discretionary,Large,2026-03-02
SBUX,Starbucks,Consumer Discretionary,Large,2026-03-02
MCD,McDonalds,Consumer Discretionary,Large,2026-03-02
COIN,Coinbase,Financials,Large,2026-03-02
AXON,Axon Enterprise,Industrials,Large,2026-03-02
DKNG,DraftKings,Consumer Discretionary,Large,2026-03-02
MSTR,MicroStrategy,Technology,Large,2026-03-02
CELH,Celsius Holdings,Consumer Staples,Large,2026-03-02
